country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Gabon,13.3,0,0,0,0,0,0,8.3,8.3,8.3,9.2,9.2,9.2,9.2,9.2,9.2,12.5,16.7,16.7,14.7,14.7,14.2,15.8,15.8,15,14.2,14.2,17.1,17.1
Gambia,7.8,0,0,0,0,0,0,2,2,2,2,2,5.7,13.2,13.2,13.2,13.2,9.4,9.4,7.5,7.5,7.5,7.5,7.5,9.4,9.4,9.4,10.3,10.3
Georgia,0,0,0,0,0,0,0,6.9,6.9,0,7.2,7.2,7.2,7.2,9.4,9.4,9.4,9.4,6,5.1,6.5,6.6,12,12,12,11.3,0,16,16
Germany,0,0,0,0,0,0,0,26.2,26.2,30.9,30.9,31.1,32.2,32.2,32.8,31.8,31.6,31.6,32.2,32.8,32.8,32.9,32.9,36.5,36.5,36.5,36.5,37,30.7
Ghana,0,0,0,0,0,0,0,9,9,9,0,9,9,9,10.9,10.9,10.9,10.9,7.9,8.3,8.3,8.3,0,10.9,10.9,10.9,10.9,12.7,12.7
Greece,6.7,0,0,0,0,0,0,6.3,6.3,6.3,8.7,8.7,8.7,8.7,14,13,13,14.7,14.7,17.3,17.3,18.7,21,21,21,19.7,19.7,18.3,18.7
Grenada,0,0,0,0,0,0,0,20,20,0,26.7,26.7,26.7,26.7,26.7,26.7,26.7,26.7,13.3,13.3,13.3,13.3,13.3,33.3,33.3,33.3,33.3,33.3,46.7
Guatemala,7,0,0,0,0,0,0,12.5,12.5,7.1,8.8,8.8,8.8,8.2,8.2,8.2,8.2,12,12,12,12,13.3,13.3,13.3,13.3,13.9,13.9,12.7,12.7
Guinea,0,0,0,0,0,0,0,7,8.8,8.8,8.8,8.8,0,19.3,19.3,19.3,19.3,19.3,0,0,0,0,0,0,21.9,21.9,21.9,21.9,21.9
Guinea-Bissau,20,0,0,0,0,0,0,10,10,0,7.8,7.8,7.8,0,14,14,14,14,10,10,10,10,14,14,13.7,13.7,13.7,13.7,13.7
Guyana,36.9,0,0,0,0,0,0,0,0,18.5,18.5,18.3,20,20,30.8,30.8,29,29,30,30,30,31.3,31.3,31.3,31.3,30.4,30.4,31.9,31.9
Haiti,0,0,0,0,0,0,0,3.6,3.6,3.6,0,3.6,3.6,3.6,3.6,3.6,2,4.1,4.1,4.1,11.1,4.2,4.2,4.2,4.2,4.2,0,2.5,2.5
Honduras,10.2,0,0,0,0,0,0,0,9.4,9.4,9.4,9.4,5.5,5.5,5.5,23.4,23.4,23.4,23.4,18,18,19.5,19.5,19.5,25.8,25.8,25.8,25.8,21.1
Hungary,20.7,0,0,0,0,0,0,11.4,8.3,8.3,8.3,8.3,9.1,9.8,9.1,9.1,10.4,11.1,11.1,11.1,9.1,8.8,8.8,8.8,10.1,10.1,10.1,10.1,12.6
Iceland,20.6,0,0,0,0,0,0,25.4,25.4,34.9,34.9,34.9,34.9,30.2,30.2,33.3,33.3,33.3,33.3,42.9,42.9,39.7,39.7,39.7,39.7,41.3,47.6,47.6,38.1
India,5,0,0,0,0,0,0,7.2,8.1,8.4,9,8.8,8.8,8.8,8.3,8.3,8.3,9.1,9.1,10.8,10.8,11,11,11,11.4,12,12,11.8,11.8
Indonesia,12.4,0,0,0,0,0,0,11.4,11.4,0,8,8,8,8,11.3,11.3,11.3,11.6,11.6,17.9,18,18.2,18.6,18.6,16.9,17.1,17.1,19.8,19.8
Iran,1.5,0,0,0,0,0,0,4.9,4.9,4.9,3.4,3.4,4.1,4.1,4.1,4.1,4.1,4.1,2.8,2.8,2.8,2.8,3.1,3.1,3.1,3.1,5.9,5.9,5.9
Iraq,10.8,0,0,0,0,0,0,6.4,6.4,6.4,7.6,7.6,7.6,0,0,0,25.5,25.5,25.5,25.5,25.2,25.2,25.2,25.2,25.3,26.5,26.5,25.3,25.5
Ireland,7.8,0,0,0,0,0,0,12,12,12,12,12,13.3,13.3,13.3,13.3,13.3,13.3,13.3,13.9,13.9,15.1,15.1,15.7,15.7,16.3,22.2,22.2,22.2
Israel,6.7,0,0,0,0,0,0,7.5,7.5,11.7,12.5,13.3,14.2,15,15,15,14.2,14.2,14.2,18.3,19.2,20,20,22.5,22.5,26.7,26.7,27.5,27.5
Italy,12.9,0,0,0,0,0,0,11.1,11.1,11.1,11.1,9.8,9.8,11.5,11.5,11.5,17.3,17.3,21.3,21.3,21.3,21.6,21.4,31.4,31.4,31,31,31,35.7
Jamaica,5,0,0,0,0,0,0,11.7,13.6,13.3,13.3,13.3,0,11.7,11.7,11.7,11.7,13.3,13.3,13.3,13.3,12.7,12.7,12.7,12.7,12.7,17.5,17.5,17.5
Japan,1.4,0,0,0,0,0,0,4.6,4.6,4.6,7.3,7.3,7.3,7.1,7.1,9,9.4,9.4,9.4,11.3,11.3,10.8,7.9,8.1,8.1,9.5,9.5,9.3,10.1
Jordan,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,5.5,5.5,5.5,5.5,6.4,6.4,6.4,10.8,10.8,10.8,12.2,12,12,15.4,15.4,15.4
Kazakhstan,0,0,0,0,0,0,0,13.4,13.4,10.8,10.4,10.4,10.4,10.4,10.4,10.4,10.4,15.9,15.9,17.8,17.8,17.8,24.3,24.3,25.2,26.2,27.1,27.1,27.1
Kenya,1.1,0,0,0,0,0,0,3,3.6,3.6,3.6,3.6,3.6,7.1,7.1,7.1,7.3,7.2,9.8,9.8,9.8,9.8,9.8,18.6,19.1,19.7,19.7,21.8,21.8
Kiribati,0,0,0,0,0,0,0,0,0,4.9,4.9,4.8,4.8,0,4.8,4.8,7.1,4.3,4.3,4.3,4.3,8.7,8.7,8.7,8.7,8.7,6.5,6.5,6.5
Kuwait,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,1.5,1.5,3.1,7.7,7.7,7.7,6.2,6.2,1.5,1.5,1.5,3.1,3.1
Kyrgyz Republic,0,0,0,0,0,0,0,1.4,1.4,1.4,2.3,10,10,10,10,0,0,25.6,25.6,25.6,23.3,23.3,23.3,23.3,23.3,19.2,19.2,19.2,19.2
Lao,6.3,0,0,0,0,0,0,0,21.2,21.2,21.2,21.2,22.9,22.9,22.9,22.9,25.2,25.2,25.2,25.2,25.2,25,25,25,25,25,27.5,27.5,27.5
Latvia,0,0,0,0,0,0,0,9,9,17,17,17,18,21,21,21,19,20,20,22,20,23,23,23,18,18,18,16,16
Lebanon,0,0,0,0,0,0,0,2.3,2.3,2.3,2.3,2.3,2.3,2.3,2.3,4.7,4.7,4.7,4.7,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,4.7
Lesotho,0,0,0,0,0,0,0,4.6,3.8,3.8,3.8,3.8,0,11.7,11.7,11.7,11.7,23.5,25,24.2,24.2,24.2,26.7,26.7,26.7,25,25,22.9,22.1
Liberia,0,0,0,0,0,0,0,0,0,0,7.8,7.8,7.8,7.8,5.3,12.5,12.5,12.5,12.5,12.5,12.5,9.6,11,11,11,11,11,12.3,12.3
Libya,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.7,7.7,7.7,7.7,7.7,7.7,0,16.5,16.5,16,16,16,16,16
Liechtenstein,4,0,0,0,0,0,0,4,4,4,4,12,12,12,12,24,24,24,24,24,24,24,24,20,20,20,20,12,12
Lithuania,0,0,0,0,0,0,0,17.5,17.5,17.5,10.6,10.6,10.6,10.6,22,22,24.8,22.7,17.7,19.1,19.1,19.1,24.5,24.1,24.1,23.4,21.3,21.3,21.3
Luxembourg,13.3,0,0,0,0,0,0,20,20,16.7,16.7,16.7,16.7,16.7,23.3,23.3,23.3,23.3,23.3,20,20,25,21.7,23.3,28.3,28.3,28.3,28.3,28.3
Madagascar,6.5,0,0,0,0,0,0,3.7,0,8,8,8,0,3.8,6.9,6.9,6.9,7.9,7.9,0,12.5,12.5,17.5,17.5,20.5,20.5,20.5,19.2,19.2
Malawi,9.8,0,0,0,0,0,0,5.6,5.6,8.3,9.3,9.3,9.3,9.3,14,13.6,13.6,13,13,20.8,20.8,22.3,22.3,22.3,16.7,16.7,16.7,16.7,16.7
Malaysia,5.1,0,0,0,0,0,0,7.8,7.8,0,10.4,10.4,10.4,10.5,9.1,9.1,9.1,10,10.8,9.9,9.9,10.4,10.4,10.4,10.4,10.4,10.4,10.4,13.9
Maldives,6.3,0,0,0,0,0,0,6.3,6.3,0,6,6,6,6,6,12,12,12,12,6.5,6.5,6.5,6.5,6.5,5.9,5.9,5.9,5.9,5.9
Mali,0,0,0,0,0,0,0,12.2,12.2,12.2,12.2,12.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,10.2,9.5,8.8,8.8,8.8,8.8
Malta,2.9,0,0,0,0,0,0,5.8,5.8,9.2,9.2,9.2,9.2,7.7,9.2,9.2,9.2,9.2,8.7,8.7,8.7,8.7,8.7,14.3,14.3,12.9,12.9,11.9,11.9
Marshall Islands,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,9.1,9.1,9.1,9.1
Mauritania,0,0,0,0,0,0,0,1.3,3.8,3.8,3.8,0,0,3.7,3.7,0,17.9,22.1,22.1,22.1,22.1,22.1,22.1,22.1,25.2,25.2,25.2,25.2,20.3
Mauritius,7.1,0,0,0,0,0,0,7.6,7.6,7.6,5.7,5.7,5.7,5.7,5.7,17.1,17.1,17.1,17.1,17.1,18.8,18.8,18.8,18.8,18.8,11.6,11.6,11.6,11.6
Mexico,12,0,0,0,0,0,0,14.2,17.4,18.2,16,16,16,22.6,22.6,24.2,22.6,23.2,23.2,27.6,26.2,26.2,36.8,36.8,37.4,42.4,42.4,42.6,48.2
"Micronesia, Fed. Sts.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moldova,0,0,0,0,0,0,0,4.8,0,8.9,7.9,12.9,12.9,12.9,15.8,21.8,21.8,21.8,21.8,23.8,18.8,19.8,19.8,19.8,17.8,21.8,21.8,22.8,22.8
Monaco,11.1,0,0,0,0,0,0,5.6,22.2,22.2,22.2,22.2,22.2,20.8,20.8,20.8,20.8,20.8,25,26.1,26.1,19,19,20.8,20.8,20.8,20.8,20.8,33.3
Mongolia,24.9,0,0,0,0,0,0,7.9,7.9,7.9,10.5,10.5,10.5,10.5,6.8,6.7,6.6,6.6,4.2,3.9,3.9,3.9,14.9,14.9,14.9,14.5,17.1,17.1,17.1
Montenegro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6,11.1,11.1,11.1,11.1,12.3,17.3,16,17.3,17.3,23.5,23.5,23.5
Morocco,0,0,0,0,0,0,0,0.6,0.6,0.6,0.6,0.6,10.8,10.8,10.8,10.8,10.8,10.5,10.5,10.5,10.5,17,17,17,17,17,20.5,20.5,20.5
Mozambique,15.7,0,0,0,0,0,0,25.2,25.2,0,30,30,30,30,34.8,34.8,34.8,34.8,34.8,39.2,39.2,39.2,39.2,39.2,0,39.6,39.6,39.6,39.6
Myanmar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.3,3.5,6,6,5.6,12.7,9.9,10.2,10.2
Namibia,6.9,0,0,0,0,0,0,22.2,22.2,22.2,25,25,25,26.4,25,26.9,26.9,26.9,26.9,26.9,24.4,24.4,24.4,24.4,0,41.3,41.3,41.3,46.2
Nauru,5.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.3,5.3,5.3,5.3,10.5,10.5
Nepal,6.1,0,0,0,0,0,0,3.4,3.4,5.9,5.9,5.9,5.9,5.9,5.9,5.9,5.9,17.3,33.2,33.2,33.2,33.2,33.2,33.2,29.5,29.5,29.6,29.6,32.7
Netherlands,21.3,0,0,0,0,0,0,31.3,36,36,36,36,34,36.7,36.7,36.7,36.7,39.3,41.3,42,40.7,40.7,38.7,38.7,38.7,37.3,37.3,36,36
New Zealand,14.4,0,0,0,0,0,0,29.2,29.2,29.2,30.8,30.8,29.2,28.3,28.3,32.2,32.2,33.1,33.6,33.6,33.6,32.2,32.2,32.2,29.8,31.4,31.4,34.2,38.3
Nicaragua,14.8,0,0,0,0,0,0,10.8,10.8,9.7,9.7,0,20.7,20.7,20.7,20.7,15.2,18.5,18.5,20.7,20.7,40.2,40.2,40.2,42.4,41.3,41.3,45.7,45.7
Niger,5.4,0,0,0,0,0,0,1.2,1.2,0,1.2,1.2,1.2,1.2,12.4,12.4,12.4,12.4,12.4,9.7,0,13.3,13.3,13.3,13.3,13.3,14.6,17,17
Nigeria,0,0,0,0,0,0,0,0,0,0,3.4,3.4,3.4,4.9,4.7,6.4,6.1,7,7,7,7,6.8,6.7,6.7,6.7,5.6,5.6,5.6,5.6
North Korea,21.1,0,0,0,0,0,0,20.1,20.1,20.1,20.1,20.1,20.1,0,20.1,20.1,20.1,20.1,20.1,15.6,15.6,15.6,15.6,15.6,16.3,16.3,16.3,16.3,16.3
Norway,35.8,0,0,0,0,0,0,36.4,36.4,36.4,36.4,35.8,36.4,36.4,38.2,37.9,37.9,36.1,36.1,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,39.6,41.4
Oman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.4,2.4,2.4,0,0,0,0,1.2,1.2,1.2,1.2,1.2,1.2,1.2,1.2
Pakistan,10.1,0,0,0,0,0,0,2.3,2.3,0,0,0,21.1,21.6,21.3,21.3,21.3,21.1,22.5,22.2,22.2,22.5,22.5,20.7,20.7,20.6,20.6,20.6,20.6
Palau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5,12.5
Panama,7.5,0,0,0,0,0,0,9.7,9.7,0,9.9,9.9,9.9,9.9,16.7,16.7,16.7,16.7,16.7,8.5,8.5,8.5,8.5,8.5,19.3,18.3,18.3,18.3,18.3
Papua New Guinea,0,0,0,0,0,0,0,1.8,1.8,1.8,1.8,1.8,0,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,0.9,2.7,2.7,2.7,2.7,2.7,0,0
Paraguay,5.6,0,0,0,0,0,0,2.5,0,2.5,2.5,2.5,2.5,8.8,10,10,10,10,12.5,12.5,12.5,12.5,12.5,17.5,15,15,15,13.8,15
Peru,5.6,0,0,0,0,0,0,10.8,10.8,10.8,0,17.5,17.5,17.5,18.3,18.3,29.2,29.2,29.2,27.5,27.5,21.5,21.5,21.5,22.3,22.3,27.7,27.7,27.7
Philippines,9.1,0,0,0,0,0,0,11.1,12.4,12.4,11.3,17.8,17.8,17.8,15.3,15.3,15.3,20.5,20.5,21,22.1,22.9,22.9,27.1,27.3,27.2,29.8,29.5,29.5
Poland,13.5,0,0,0,0,0,0,13,13,13,13,20.2,20.2,20.2,20.2,20.4,20.4,20.4,20.2,20,20,23.7,23.7,23.7,24.3,27.4,27.4,28,28
Portugal,7.6,0,0,0,0,0,0,13,13,18.7,17.4,18.7,19.1,19.1,19.1,21.3,21.3,28.3,28.3,27.4,27.4,28.7,28.7,28.7,31.3,34.8,34.8,34.8,34.8
Qatar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.8
Romania,34.4,0,0,0,0,0,0,7.3,7.3,7.3,0,10.7,10.7,10.7,11.4,11.2,11.2,9.4,11.4,11.4,11.4,11.2,13.3,13.3,13.5,13.7,13.7,20.7,20.7
Russia,15.6,0,0,0,0,0,0,10.2,10.2,0,7.7,7.6,7.6,7.6,9.8,9.8,9.8,14,14,14,14,13.6,13.6,13.6,13.6,13.6,12.7,15.8,15.8
